row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
1081	happyou	exam	発表	はっぴょう	công bố, phát biểu	研究の成果を発表した。	Tôi đã công bố thành quả nghiên cứu.
1082	happyou	daily	発表	はっぴょう	công bố, phát biểu	結果、いつ発表されるの?	Kết quả khi nào được công bố vậy?
1083	happyou	business	発表	はっぴょう	công bố, phát biểu	新製品を来月正式に発表いたします。	Chúng tôi sẽ chính thức công bố sản phẩm mới vào tháng sau.
1084	hatsumei	exam	発明	はつめい	phát minh	電球はエジソンが発明した。	Bóng đèn được Edison phát minh ra.
1085	hatsumei	daily	発明	はつめい	phát minh	これ、誰の発明なんだろう。	Cái này không biết là phát minh của ai nhỉ.
1086	hatsumei	business	発明	はつめい	phát minh	新技術の発明により特許を取得しました。	Nhờ phát minh công nghệ mới, chúng tôi đã lấy được bằng sáng chế.
1087	haba	exam	幅	はば	độ rộng	この道路は幅が広い。	Con đường này có bề rộng lớn.
1088	haba	daily	幅	はば	độ rộng	この棚、幅どれくらい?	Cái kệ này rộng khoảng bao nhiêu?
1089	haba	business	幅	はば	độ rộng	製品の幅を5センチ縮小いたしました。	Chúng tôi đã thu nhỏ chiều rộng sản phẩm 5cm.
1090	bamen	exam	場面	ばめん	cảnh	その場面がとても印象的だった。	Cảnh đó rất ấn tượng.
1091	bamen	daily	場面	ばめん	cảnh	あの場面、感動したよね。	Cảnh đó cảm động thật nhỉ.
1092	bamen	business	場面	ばめん	cảnh	状況に応じて場面ごとに対応いたします。	Chúng tôi sẽ ứng phó theo từng tình huống cụ thể.
1093	hayaoki	exam	早起き	はやおき	dậy sớm	健康のために早起きを心がけている。	Tôi cố gắng dậy sớm vì sức khỏe.
1094	hayaoki	daily	早起き	はやおき	dậy sớm	明日は早起きしないとね。	Mai phải dậy sớm mới được.
1095	hayaoki	business	早起き	はやおき	dậy sớm	早起きを習慣づけることで業務効率が上がりました。	Nhờ tạo thói quen dậy sớm, hiệu suất công việc đã tăng lên.
1096	hanzai	exam	犯罪	はんざい	tội phạm (hành vi)	この地域は犯罪が少ない。	Khu vực này ít tội phạm.
1097	hanzai	daily	犯罪	はんざい	tội phạm (hành vi)	最近、犯罪のニュース多いね。	Dạo này tin tức về tội phạm nhiều nhỉ.
1098	hanzai	business	犯罪	はんざい	tội phạm (hành vi)	社内の犯罪防止対策を強化しております。	Chúng tôi đang tăng cường biện pháp phòng chống tội phạm trong công ty.
1099	hansei	exam	反省	はんせい	kiểm điểm	失敗を反省して次に生かす。	Kiểm điểm thất bại để phát huy cho lần sau.
1100	hansei	daily	反省	はんせい	kiểm điểm	ちゃんと反省してる?	Cậu có kiểm điểm nghiêm túc không đấy?
1101	hansei	business	反省	はんせい	kiểm điểm	今回のミスについて深く反省しております。	Chúng tôi thành thật kiểm điểm sâu sắc về sai sót lần này.
1102	handan	exam	判断	はんだん	phán đoán	状況を見て自分で判断してください。	Hãy nhìn tình huống rồi tự phán đoán.
1103	handan	daily	判断	はんだん	phán đoán	どっちがいいか、判断つかないよ。	Không phán đoán được cái nào tốt hơn.
1104	handan	business	判断	はんだん	phán đoán	最終的な判断は上長にお任せいたします。	Chúng tôi sẽ để cấp trên đưa ra phán đoán cuối cùng.
1105	hannin	exam	犯人	はんにん	tội phạm, thủ phạm	警察は犯人を捜している。	Cảnh sát đang truy tìm thủ phạm.
1106	hannin	daily	犯人	はんにん	tội phạm, thủ phạm	犯人、もう捕まったの?	Thủ phạm bị bắt chưa?
1107	hannin	business	犯人	はんにん	tội phạm, thủ phạm	犯人特定のため防犯カメラを確認しております。	Chúng tôi đang kiểm tra camera an ninh để xác định thủ phạm.
1108	hiatari	exam	日当たり	ひあたり	ánh nắng	この部屋は日当たりがいい。	Căn phòng này ánh nắng tốt.
1109	hiatari	daily	日当たり	ひあたり	ánh nắng	このベランダ、日当たり悪くない?	Ban công này ánh nắng không tệ à?
1110	hiatari	business	日当たり	ひあたり	ánh nắng	日当たりの良い立地を条件に物件を探しております。	Chúng tôi đang tìm bất động sản với điều kiện vị trí nhiều ánh nắng.
1111	higaeri	exam	日帰り	ひがえり	đi về trong ngày	日帰りで温泉旅行に行った。	Tôi đã đi du lịch suối nước nóng trong ngày.
1112	higaeri	daily	日帰り	ひがえり	đi về trong ngày	日帰りで行ける?	Đi về trong ngày được không?
1113	higaeri	business	日帰り	ひがえり	đi về trong ngày	日帰り出張のスケジュールを組みました。	Tôi đã lên lịch cho chuyến công tác trong ngày.
1114	hikaku	exam	比較	ひかく	so sánh	二つの商品を比較して選んだ。	Tôi đã so sánh hai sản phẩm rồi chọn.
1115	hikaku	daily	比較	ひかく	so sánh	値段、比較してみようよ。	Thử so sánh giá xem sao.
