row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
1981	taion	exam	体温	たいおん	nhiệt độ cơ thể	毎朝、体温を測っている。	Mỗi sáng tôi đều đo nhiệt độ cơ thể.
1982	taion	daily	体温	たいおん	nhiệt độ cơ thể	体温、何度あった?	Nhiệt độ cơ thể bao nhiêu độ vậy?
1983	taion	business	体温	たいおん	nhiệt độ cơ thể	入館時に体温測定にご協力ください。	Xin vui lòng hợp tác đo nhiệt độ cơ thể khi vào tòa nhà.
1984	taijuu	exam	体重	たいじゅう	cân nặng	最近、体重が増えた。	Dạo này cân nặng tôi tăng lên.
1985	taijuu	daily	体重	たいじゅう	cân nặng	体重、減った?	Cân nặng giảm rồi à?
1986	taijuu	business	体重	たいじゅう	cân nặng	健康診断にて体重を測定いたします。	Chúng tôi sẽ đo cân nặng trong đợt khám sức khỏe.
1987	tairyoku	exam	体力	たいりょく	thể lực	運動して体力をつけた。	Tôi đã tập thể dục để tăng thể lực.
1988	tairyoku	daily	体力	たいりょく	thể lực	最近、体力落ちたなあ。	Dạo này thể lực giảm sút thật đấy.
1989	tairyoku	business	体力	たいりょく	thể lực	本業務には一定の体力が求められます。	Công việc này yêu cầu một thể lực nhất định.
1990	tsukare	exam	疲れ	つかれ	mệt mỏi	疲れが取れない。	Mệt mỏi không hết được.
1991	tsukare	daily	疲れ	つかれ	mệt mỏi	疲れた顔してるよ、大丈夫?	Trông cậu mệt mỏi thế, ổn không?
1992	tsukare	business	疲れ	つかれ	mệt mỏi	疲れを感じたら早めに休憩を取ってください。	Nếu cảm thấy mệt mỏi, xin vui lòng nghỉ ngơi sớm.
1993	nagaiki	exam	長生き	ながいき	sống lâu	祖母は長生きしている。	Bà tôi sống lâu.
1994	nagaiki	daily	長生き	ながいき	sống lâu	長生きの秘訣、知りたいな。	Muốn biết bí quyết sống lâu ghê.
1995	nagaiki	business	長生き	ながいき	sống lâu	長生きの秘訣として適度な運動が挙げられます。	Vận động vừa phải được xem là bí quyết để sống lâu.
1996	namida	exam	涙	なみだ	nước mắt	感動して涙が出た。	Vì cảm động nên nước mắt đã rơi.
1997	namida	daily	涙	なみだ	nước mắt	涙、止まらないよ。	Nước mắt không ngừng rơi.
1998	namida	business	涙	なみだ	nước mắt	お客様からの感謝の言葉に涙が出そうになりました。	Tôi đã suýt rơi nước mắt trước lời cảm ơn từ khách hàng.
1999	nioi	exam	匂い	におい	mùi	この花はいい匂いがする。	Bông hoa này có mùi thơm dễ chịu.
2000	nioi	daily	匂い	におい	mùi	なんか変な匂いしない?	Có ngửi thấy mùi lạ gì không?
2001	nioi	business	匂い	におい	mùi	製品には人工的な匂いを使用しておりません。	Sản phẩm không sử dụng mùi hương nhân tạo.
2002	hakike	exam	吐き気	はきけ	buồn nôn	車に酔って吐き気がした。	Tôi bị say xe và cảm thấy buồn nôn.
