row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
2341	fan	exam	ファン	ファン	người hâm mộ	彼のファンになった。	Tôi đã trở thành người hâm mộ của anh ấy.
2342	fan	daily	ファン	ファン	người hâm mộ	このバンドのファンなんだ。	Tớ là fan của ban nhạc này đấy.
2343	fan	business	ファン	ファン	người hâm mộ	ファンの皆様へ感謝の気持ちをお伝えいたします。	Chúng tôi xin gửi lời cảm ơn đến toàn thể người hâm mộ.
2344	fuufu	exam	夫婦	ふうふ	vợ chồng	あの夫婦は仲がいい。	Cặp vợ chồng đó rất hòa thuận.
2345	fuufu	daily	夫婦	ふうふ	vợ chồng	二人、夫婦みたいだね。	Hai người trông như vợ chồng vậy nhỉ.
2346	fuufu	business	夫婦	ふうふ	vợ chồng	夫婦向けのプランをご用意しております。	Chúng tôi có chuẩn bị gói dịch vụ dành cho cặp vợ chồng.
2347	fubo	exam	父母	ふぼ	cha mẹ	父母の同意が必要だ。	Cần có sự đồng ý của cha mẹ.
2348	fubo	daily	父母	ふぼ	cha mẹ	父母参観日、来てくれる?	Ngày dự giờ phụ huynh cậu đến được không?
2349	fubo	business	父母	ふぼ	cha mẹ	学校では、父母会からのご意見を運営の参考にしています。	Nhà trường tham khảo ý kiến từ hội phụ huynh trong công tác vận hành.
2350	pro	exam	プロ	プロ	chuyên nghiệp	彼はプロの選手になった。	Anh ấy đã trở thành vận động viên chuyên nghiệp.
2351	pro	daily	プロ	プロ	chuyên nghiệp	もうプロ級の腕前だね。	Tay nghề đã đạt đến trình độ chuyên nghiệp rồi nhỉ.
2352	pro	business	プロ	プロ	chuyên nghiệp	プロの視点から改善案をご提案いたします。	Chúng tôi xin đề xuất phương án cải tiến từ góc nhìn chuyên nghiệp.
2353	honnin	exam	本人	ほんにん	chính người đó	本人に確認した方がいい。	Nên xác nhận trực tiếp với chính người đó.
2354	honnin	daily	本人	ほんにん	chính người đó	それ、本人に聞いてみたら?	Cái đó hỏi trực tiếp người đó xem sao?
2355	honnin	business	本人	ほんにん	chính người đó	本人確認のため身分証をご提示ください。	Xin vui lòng xuất trình giấy tờ tùy thân để xác minh danh tính.
2356	maigo	exam	迷子	まいご	trẻ lạc đường	デパートで迷子になった。	Tôi bị lạc ở trung tâm thương mại.
2357	maigo	daily	迷子	まいご	trẻ lạc đường	迷子にならないように気をつけてね。	Chú ý đừng để bị lạc nhé.
2358	maigo	business	迷子	まいご	trẻ lạc đường	迷子案内のアナウンスを館内で流しております。	Chúng tôi phát thông báo tìm trẻ lạc trong tòa nhà.
2359	chichioya	exam	父親	ちちおや	bố	父親と一緒に釣りに行った。	Tôi đã đi câu cá cùng bố.
2360	chichioya	daily	父親	ちちおや	bố	父親、厳しい人なの?	Bố cậu là người nghiêm khắc à?
2361	chichioya	business	父親	ちちおや	bố	育児商品の企画会議で、父親の立場から意見を述べました。	Trong cuộc họp lên kế hoạch sản phẩm chăm sóc trẻ, tôi phát biểu từ góc nhìn của một người cha.
2362	hahaoya	exam	母親	ははおや	mẹ	母親に相談した。	Tôi đã hỏi ý kiến mẹ.
2363	hahaoya	daily	母親	ははおや	mẹ	母親、心配してたよ。	Mẹ cậu lo lắng lắm đấy.
2364	hahaoya	business	母親	ははおや	mẹ	母親目線での商品開発を心がけています。	Chúng tôi chú trọng phát triển sản phẩm từ góc nhìn của người mẹ.
2365	sofu	exam	祖父	そふ	ông	祖父は毎朝散歩している。	Ông tôi đi bộ mỗi sáng.
2366	sofu	daily	祖父	そふ	ông	祖父、元気にしてる?	Ông cậu có khỏe không?
2367	sofu	business	祖父	そふ	ông	創業者である祖父から会社を引き継ぎました。	Tôi đã tiếp quản công ty từ ông tôi, người sáng lập công ty.
2368	sobo	exam	祖母	そぼ	bà	祖母の手料理が食べたい。	Tôi muốn ăn món ăn tay bà làm.
2369	sobo	daily	祖母	そぼ	bà	祖母、優しい人だったよ。	Bà tớ là người rất hiền.
2370	sobo	business	祖母	そぼ	bà	祖母が始めた店を、今は私が経営しています。	Cửa hàng do bà tôi mở giờ do tôi điều hành.
2371	chounan	exam	長男	ちょうなん	trưởng nam	彼は長男として生まれた。	Anh ấy sinh ra là con trai trưởng.
2372	chounan	daily	長男	ちょうなん	trưởng nam	長男だから責任感あるよね。	Vì là con trưởng nên có trách nhiệm nhỉ.
2373	chounan	business	長男	ちょうなん	trưởng nam	長男が家業を継ぐことになりました。	Con trai trưởng sẽ tiếp nối công việc gia đình.
2374	choujo	exam	長女	ちょうじょ	trưởng nữ	長女は結婚して家を出た。	Con gái trưởng đã kết hôn và ra riêng.
2375	choujo	daily	長女	ちょうじょ	trưởng nữ	長女なんだよね、しっかりしてる。	Là con gái trưởng nên chững chạc nhỉ.
2376	choujo	business	長女	ちょうじょ	trưởng nữ	社長の長女が来年から会社を継ぐ予定です。	Con gái trưởng của giám đốc dự kiến sẽ kế nghiệp công ty từ năm sau.
2377	jinan	exam	次男	じなん	con trai thứ	次男は海外に住んでいる。	Con trai thứ hai sống ở nước ngoài.
