row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
5221	ippou2	exam	一方	いっぽう	mặt khác	兄は医者で、一方弟は教師だ。	Anh trai là bác sĩ, còn em trai thì là giáo viên.
5222	ippou2	daily	一方	いっぽう	mặt khác	売上は伸びる一方、コストも増えた。	Doanh số tăng, nhưng mặt khác chi phí cũng tăng theo.
5223	ippou2	business	一方	いっぽう	mặt khác	一方で、新しい課題も見つかった。	Mặt khác, cũng đã phát hiện ra vấn đề mới.
5224	sate	exam	さて	さて	à mà, giờ thì	さて、本題に入りましょう。	Giờ thì, chúng ta vào vấn đề chính nhé.
5225	sate	daily	さて	さて	à mà, giờ thì	さて、次は何をしようか。	À, tiếp theo thì làm gì đây nhỉ.
5226	sate	business	さて	さて	à mà, giờ thì	さて、会議を始めさせていただきます。	Vậy thì, xin phép bắt đầu cuộc họp.
5227	suruto	exam	すると	すると	và rồi, thì	ドアを開けた。すると猫が飛び出してきた。	Đã mở cửa. Và rồi con mèo lao ra.
5228	suruto	daily	すると	すると	và rồi, thì	ボタンを押した。すると音楽が鳴り始めた。	Đã nhấn nút. Rồi nhạc bắt đầu vang lên.
5229	suruto	business	すると	すると	và rồi, thì	価格を下げた。すると売上が伸びた。	Đã giảm giá. Kết quả là doanh số tăng lên.
5230	souieba	exam	そういえば	そういえば	nói mới nhớ	そういえば、彼はどうしているの。	Nói mới nhớ, anh ấy dạo này thế nào rồi nhỉ.
5231	souieba	daily	そういえば	そういえば	nói mới nhớ	そういえば、明日は休みだった。	Nói mới nhớ, mai là ngày nghỉ.
5232	souieba	business	そういえば	そういえば	nói mới nhớ	そういえば、先日の件はどうなりましたか。	Nói mới nhớ, việc hôm trước thế nào rồi ạ?
5233	sokode	exam	そこで	そこで	do đó, vì thế	雨が降ってきた。そこで傘を買った。	Trời đổ mưa. Do đó tôi đã mua ô.
5234	sokode	daily	そこで	そこで	do đó, vì thế	予算が足りない。そこで計画を見直した。	Ngân sách không đủ. Vì thế đã xem lại kế hoạch.
5235	sokode	business	そこで	そこで	do đó, vì thế	需要が増えた。そこで生産を拡大することにした。	Nhu cầu tăng lên. Do đó đã quyết định mở rộng sản xuất.
5236	sonoue	exam	そのうえ	そのうえ	hơn nữa	安いし、そのうえおいしい。	Vừa rẻ, hơn nữa lại ngon.
5237	sonoue	daily	そのうえ	そのうえ	hơn nữa	忙しいし、そのうえ体調も悪い。	Bận rộn, hơn nữa sức khỏe cũng không tốt.
5238	sonoue	business	そのうえ	そのうえ	hơn nữa	コストが削減され、そのうえ品質も向上した。	Chi phí đã giảm, hơn nữa chất lượng cũng được cải thiện.
5239	sonotame	exam	そのため	そのため	vì vậy	台風が来た。そのため電車が止まった。	Bão đến. Vì vậy tàu điện đã dừng chạy.
5240	sonotame	daily	そのため	そのため	vì vậy	忙しかった。そのため連絡が遅れた。	Đã bận rộn. Vì vậy việc liên lạc bị chậm trễ.
5241	sonotame	business	そのため	そのため	vì vậy	需要が急増した。そのため価格が上昇した。	Nhu cầu tăng vọt. Vì vậy giá cả đã tăng lên.
5242	sorede	exam	それで	それで	nên, rồi thì	道に迷った。それで遅刻した。	Đã lạc đường. Nên bị trễ.
5243	sorede	daily	それで	それで	nên, rồi thì	熱があった。それで学校を休んだ。	Đã bị sốt. Nên nghỉ học.
5244	sorede	business	それで	それで	nên, rồi thì	それで、結論はどうなりましたか。	Vậy thì, kết luận thế nào rồi ạ?
5245	soretomo	exam	それとも	それとも	hay là	コーヒーにしますか、それとも紅茶にしますか。	Bạn dùng cà phê hay là trà?
5246	soretomo	daily	それとも	それとも	hay là	電車で行く、それとも歩いて行く。	Đi bằng tàu điện, hay là đi bộ?
5247	soretomo	business	それとも	それとも	hay là	契約を継続しますか、それとも解除しますか。	Quý vị muốn tiếp tục hợp đồng, hay là hủy bỏ?
5248	sorenara	exam	それなら	それなら	nếu vậy	それなら、早く言ってよ。	Nếu vậy thì nói sớm đi chứ.
5249	sorenara	daily	それなら	それなら	nếu vậy	それなら安心だ。	Nếu vậy thì yên tâm rồi.
5250	sorenara	business	それなら	それなら	nếu vậy	それなら別の案を検討しましょう。	Nếu vậy hãy xem xét phương án khác.
5251	soreni	exam	それに	それに	hơn nữa	高いし、それに味も良くない。	Vừa đắt, hơn nữa vị cũng không ngon.
5252	soreni	daily	それに	それに	hơn nữa	遠いし、それに時間もかかる。	Vừa xa, hơn nữa lại tốn thời gian.
5253	soreni	business	それに	それに	hơn nữa	品質が良く、それに価格も手頃だ。	Chất lượng tốt, hơn nữa giá cả cũng phải chăng.
5254	daga	exam	だが／ですが	だが／ですが	nhưng	高い。だが品質はいい。	Đắt. Nhưng chất lượng tốt.
5255	daga	daily	だが／ですが	だが／ですが	nhưng	頑張った。だが結果は出なかった。	Đã cố gắng. Nhưng không có kết quả.
5256	daga	business	だが／ですが	だが／ですが	nhưng	少し値段は高いですが、品質は確かです。	Giá hơi cao nhưng chất lượng thì chắc chắn.
5257	tsumari	exam	つまり	つまり	tức là	つまり、こういうことだ。	Tức là, chuyện là như thế này.
5258	tsumari	daily	つまり	つまり	tức là	彼は私の母の弟、つまり叔父だ。	Anh ấy là em trai của mẹ tôi, tức là chú tôi.
5259	tsumari	business	つまり	つまり	tức là	つまり、今回の提案は却下ということですね。	Tức là, đề xuất lần này bị bác bỏ phải không ạ.
5260	desukara	exam	ですから	ですから	vì thế	雨です。ですから傘を持って行きます。	Trời mưa. Vì thế tôi sẽ mang ô đi.
5261	desukara	daily	ですから	ですから	vì thế	予算が限られています。ですから慎重に検討します。	Ngân sách bị hạn chế. Vì thế chúng tôi sẽ xem xét thận trọng.
5262	desukara	business	ですから	ですから	vì thế	ですから、この件はもう少しお時間をください。	Vì thế, xin cho tôi thêm chút thời gian về việc này.
5263	tokoroga	exam	ところが	ところが	tuy nhiên, thế nhưng	晴れると思った。ところが雨が降った。	Tưởng là sẽ nắng. Thế nhưng trời lại mưa.
5264	tokoroga	daily	ところが	ところが	tuy nhiên, thế nhưng	成功すると思っていた。ところが失敗した。	Đã nghĩ là sẽ thành công. Thế nhưng lại thất bại.
5265	tokoroga	business	ところが	ところが	tuy nhiên, thế nhưng	順調に進むはずだった。ところが問題が発生した。	Lẽ ra mọi việc phải tiến triển suôn sẻ. Tuy nhiên vấn đề đã phát sinh.
5266	tokorode	exam	ところで	ところで	à mà, nhân tiện	ところで、今日は何日ですか。	À mà, hôm nay là ngày mấy nhỉ?
5267	tokorode	daily	ところで	ところで	à mà, nhân tiện	ところで、あの件はどうなった。	Nhân tiện, việc đó thế nào rồi?
5268	tokorode	business	ところで	ところで	à mà, nhân tiện	ところで、来月の会議の件ですが。	Nhân tiện, về việc cuộc họp tháng sau.
5269	nazenara	exam	なぜなら	なぜなら	bởi vì	彼は遅刻した。なぜなら電車が止まったからだ。	Anh ấy đã đến trễ. Bởi vì tàu điện đã dừng chạy.
5270	nazenara	daily	なぜなら	なぜなら	bởi vì	参加できない。なぜなら出張があるからだ。	Không thể tham gia được. Bởi vì có chuyến công tác.
5271	nazenara	business	なぜなら	なぜなら	bởi vì	計画を延期した。なぜなら予算が確保できなかったからだ。	Đã hoãn kế hoạch. Bởi vì không đảm bảo được ngân sách.
