row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
1261	mane	exam	まね	まね	bắt chước	子供は親のまねをする。	Trẻ con bắt chước bố mẹ.
1262	mane	daily	まね	まね	bắt chước	それ、先生のまねでしょ?	Đó là bắt chước thầy giáo phải không?
1263	mane	business	まね	まね	bắt chước	他社のまねではなく独自の技術を追求します。	Chúng tôi theo đuổi công nghệ riêng chứ không bắt chước công ty khác.
1264	manin	exam	満員	まんいん	đông kín	電車は満員だった。	Tàu điện đông kín người.
1265	manin	daily	満員	まんいん	đông kín	このバス、いつも満員だよね。	Xe buýt này lúc nào cũng đông kín nhỉ.
1266	manin	business	満員	まんいん	đông kín	会場は満員となりましたので受付を締め切ります。	Hội trường đã đông kín nên chúng tôi kết thúc phần tiếp nhận.
1267	miss	exam	ミス	ミス	lỗi, sai sót	計算のミスに気づいた。	Tôi đã nhận ra lỗi tính toán.
1268	miss	daily	ミス	ミス	lỗi, sai sót	またミスしちゃった。	Lại làm sai nữa rồi.
1269	miss	business	ミス	ミス	lỗi, sai sót	入力ミスがございましたので訂正いたします。	Vì có sai sót nhập liệu nên chúng tôi xin đính chính.
1270	minshushugi	exam	民主主義	みんしゅしゅぎ	dân chủ	民主主義の歴史を学んだ。	Tôi đã học về lịch sử của nền dân chủ.
1271	minshushugi	daily	民主主義	みんしゅしゅぎ	dân chủ	民主主義について話すの、難しいね。	Nói về dân chủ khó thật nhỉ.
1272	minshushugi	business	民主主義	みんしゅしゅぎ	dân chủ	本講演では民主主義の発展について解説いたします。	Bài giảng này sẽ giải thích về sự phát triển của nền dân chủ.
1273	muchuu	exam	夢中	むちゅう	say mê	子供はゲームに夢中だ。	Đứa trẻ đang say mê chơi game.
1274	muchuu	daily	夢中	むちゅう	say mê	最近、何かに夢中なの?	Dạo này cậu đang say mê cái gì đó à?
1275	muchuu	business	夢中	むちゅう	say mê	新製品の開発に夢中で取り組んでいます。	Chúng tôi đang say mê phát triển sản phẩm mới.
1276	meisho	exam	名所	めいしょ	danh lam	京都には名所がたくさんある。	Kyoto có rất nhiều danh lam thắng cảnh.
1277	meisho	daily	名所	めいしょ	danh lam	近くの名所、行ってみない?	Đi thử danh lam gần đây không?
1278	meisho	business	名所	めいしょ	danh lam	地域の観光名所を紹介するパンフレットを作成しました。	Chúng tôi đã làm brochure giới thiệu các điểm tham quan nổi tiếng trong khu vực.
1279	meibutsu	exam	名物	めいぶつ	đặc sản	この地方の名物は温泉まんじゅうだ。	Đặc sản của vùng này là bánh bao suối nước nóng.
