row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
4501	nuu	exam	縫う	ぬう	khâu, may	母が服を縫ってくれた。	Mẹ đã may đồ cho tôi.
4502	nuu	daily	縫う	ぬう	khâu, may	ボタンを自分で縫った。	Tự mình khâu lại nút áo.
4503	nuu	business	縫う	ぬう	khâu, may	職人が丁寧に生地を縫う。	Người thợ tỉ mỉ may vải.
4504	nuku	exam	抜く	ぬく	rút ra, nhổ ra, loại bỏ	歯を抜いてもらった。	Được nhổ răng giúp.
4505	nuku	daily	抜く	ぬく	rút ra, nhổ ra, loại bỏ	雑草を抜いた。	Đã nhổ cỏ dại.
4506	nuku	business	抜く	ぬく	rút ra, nhổ ra, loại bỏ	無駄な工程を抜いて効率化した。	Đã loại bỏ công đoạn thừa để tối ưu hóa.
4507	nureru	exam	ぬれる	ぬれる	bị ướt	雨で服がぬれてしまった。	Quần áo bị ướt vì mưa.
4508	nureru	daily	ぬれる	ぬれる	bị ướt	靴がぬれたので着替えた。	Vì giày bị ướt nên đã thay.
4509	nureru	business	ぬれる	ぬれる	bị ướt	商品が水にぬれないよう梱包する。	Đóng gói để hàng hóa không bị ướt nước.
4510	negau	exam	願う	ねがう	mong muốn, cầu mong	合格を願っている。	Đang cầu mong đỗ đạt.
4511	negau	daily	願う	ねがう	mong muốn, cầu mong	健康を願って手を合わせた。	Chắp tay cầu mong sức khỏe.
4512	negau	business	願う	ねがう	mong muốn, cầu mong	皆様のご協力を願います。	Kính mong sự hợp tác của quý vị.
4513	nokosu	exam	残す	のこす	để lại, giữ lại	食べ物を残してはいけない。	Không được để thừa đồ ăn.
4514	nokosu	daily	残す	のこす	để lại, giữ lại	弟にケーキを残しておいた。	Đã để dành bánh cho em trai.
4515	nokosu	business	残す	のこす	để lại, giữ lại	記録を後世に残す。	Lưu lại ghi chép cho hậu thế.
4516	noseru	exam	載せる	のせる	đặt lên, chở, đăng (bài)	荷物をトラックに載せた。	Đã chất hàng lên xe tải.
4517	noseru	daily	載せる	のせる	đặt lên, chở, đăng (bài)	旅行の写真をSNSに載せたよ。	Tớ đăng ảnh chuyến đi lên mạng xã hội rồi đấy.
4518	noseru	business	載せる	のせる	đặt lên, chở, đăng (bài)	その記事を雑誌に載せることにした。	Đã quyết định đăng bài báo đó lên tạp chí.
4519	nobiru_grow	exam	伸びる	のびる	dài ra, tăng trưởng	身長がぐんと伸びた。	Chiều cao đã tăng vọt.
4520	nobiru_grow	daily	伸びる	のびる	dài ra, tăng trưởng	髪が伸びてきた。	Tóc đã dài ra.
4521	nobiru_grow	business	伸びる	のびる	dài ra, tăng trưởng	今期は売上が伸びている。	Doanh số kỳ này đang tăng trưởng.
4522	nobiru_postpone	exam	延びる	のびる	bị hoãn, kéo dài (thời gian)	試験の日程が延びた。	Lịch thi đã bị hoãn lại.
4523	nobiru_postpone	daily	延びる	のびる	bị hoãn, kéo dài (thời gian)	旅行が延びてしまった。	Chuyến du lịch bị hoãn mất rồi.
4524	nobiru_postpone	business	延びる	のびる	bị hoãn, kéo dài (thời gian)	納期が一週間延びる見込みです。	Dự kiến hạn giao hàng sẽ kéo dài thêm một tuần.
4525	noboru_rise	exam	昇る	のぼる	mọc lên, thăng tiến	太陽が東から昇る。	Mặt trời mọc từ hướng đông.
4526	noboru_rise	daily	昇る	のぼる	mọc lên, thăng tiến	朝日が昇ってきた。	Ánh mặt trời buổi sáng đã lên.
4527	noboru_rise	business	昇る	のぼる	mọc lên, thăng tiến	彼は社長の座に昇った。	Anh ấy đã lên đến vị trí chủ tịch.
4528	norikosu	exam	乗り越す	のりこす	đi quá bến (tàu, xe)	うっかり乗り越してしまった。	Lỡ đi quá bến mất rồi.
4529	norikosu	daily	乗り越す	のりこす	đi quá bến (tàu, xe)	寝ていて駅を乗り越した。	Ngủ quên nên đi quá ga.
4530	norikosu	business	乗り越す	のりこす	đi quá bến (tàu, xe)	乗り越した場合は精算してください。	Nếu đi quá bến, vui lòng thanh toán lại.
4531	haeru	exam	生える	はえる	mọc (tóc, cỏ, răng)	庭に雑草が生えている。	Cỏ dại mọc trong vườn.
4532	haeru	daily	生える	はえる	mọc (tóc, cỏ, răng)	赤ちゃんに歯が生えてきた。	Em bé đã mọc răng.
4533	haeru	business	生える	はえる	mọc (tóc, cỏ, răng)	この土地にはキノコがよく生える。	Nấm thường mọc nhiều ở khu đất này.
4534	hakaru	exam	測る	はかる	đo, đo lường	体温を測った。	Đã đo thân nhiệt.
4535	hakaru	daily	測る	はかる	đo, đo lường	部屋の広さを測って、家具のサイズを決めた。	Tôi đo kích thước căn phòng rồi quyết định kích cỡ đồ nội thất.
4536	hakaru	business	測る	はかる	đo, đo lường	製品の寸法を測って検査記録に残します。	Chúng tôi đo kích thước sản phẩm và ghi vào biên bản kiểm tra.
4537	haku_sweep	exam	掃く	はく	quét (nhà, sân)	部屋を掃いて掃除した。	Quét phòng để dọn dẹp.
4538	haku_sweep	daily	掃く	はく	quét (nhà, sân)	庭を掃いた。	Đã quét sân.
4539	haku_sweep	business	掃く	はく	quét (nhà, sân)	店の前を毎朝掃く。	Mỗi sáng quét trước cửa hàng.
4540	haku_vomit	exam	吐く	はく	nôn, nhổ, thở ra, thốt ra	気分が悪くて吐いてしまった。	Khó chịu trong người nên đã nôn.
4541	haku_vomit	daily	吐く	はく	nôn, nhổ, thở ra, thốt ra	息を大きく吐いた。	Đã thở ra thật mạnh.
4542	haku_vomit	business	吐く	はく	nôn, nhổ, thở ra, thốt ra	彼は不満を吐くように話した。	Anh ấy nói như trút hết bất mãn ra.
4543	hasamu	exam	挟む	はさむ	kẹp, xen vào giữa	パンに具を挟んで食べる。	Kẹp nhân vào bánh mì rồi ăn.
4544	hasamu	daily	挟む	はさむ	kẹp, xen vào giữa	指を挟んでしまった。	Bị kẹp ngón tay mất rồi.
4545	hasamu	business	挟む	はさむ	kẹp, xen vào giữa	資料の間にメモを挟んでおいた。	Đã kẹp ghi chú vào giữa tài liệu.
4546	hazusu	exam	外す	はずす	tháo ra, rời khỏi (chỗ ngồi)	眼鏡を外して顔を洗った。	Tháo kính ra rồi rửa mặt.
4547	hazusu	daily	外す	はずす	tháo ra, rời khỏi (chỗ ngồi)	マスクを外してもいいですか。	Tôi có thể tháo khẩu trang được không?
4548	hazusu	business	外す	はずす	tháo ra, rời khỏi (chỗ ngồi)	席を外している間に電話があった。	Có điện thoại gọi đến trong lúc tôi rời khỏi chỗ ngồi.
4549	hazureru	exam	外れる	はずれる	tuột ra, trật, sai (dự đoán)	ボタンが外れてしまった。	Cúc áo bị tuột mất rồi.
4550	hazureru	daily	外れる	はずれる	tuột ra, trật, sai (dự đoán)	天気予報が外れた。	Dự báo thời tiết đã sai.
4551	hazureru	business	外れる	はずれる	tuột ra, trật, sai (dự đoán)	予測が大きく外れる結果になった。	Kết quả đã lệch lớn so với dự đoán.
4552	hanashiau	exam	話し合う	はなしあう	bàn bạc, thảo luận	二人でよく話し合った。	Hai người đã bàn bạc kỹ với nhau.
4553	hanashiau	daily	話し合う	はなしあう	bàn bạc, thảo luận	家族で話し合って決めた。	Cả nhà bàn bạc rồi quyết định.
4554	hanashiau	business	話し合う	はなしあう	bàn bạc, thảo luận	双方が話し合う場を設けた。	Đã tạo cơ hội để hai bên trao đổi.
4555	hanashikakeru	exam	話しかける	はなしかける	bắt chuyện, gợi chuyện	知らない人に話しかけられた。	Bị người lạ bắt chuyện.
4556	hanashikakeru	daily	話しかける	はなしかける	bắt chuyện, gợi chuyện	隣の席の人に話しかけてみた。	Đã thử bắt chuyện với người ngồi bên cạnh.
4557	hanashikakeru	business	話しかける	はなしかける	bắt chuyện, gợi chuyện	上司に話しかけるタイミングを見計らった。	Đã canh thời điểm để bắt chuyện với cấp trên.
4558	hanareru	exam	離れる	はなれる	rời xa, tách khỏi	故郷を離れて十年になる。	Đã 10 năm kể từ khi rời quê hương.
4559	hanareru	daily	離れる	はなれる	rời xa, tách khỏi	子供が親から離れたがらない。	Đứa trẻ không muốn rời xa cha mẹ.
4560	hanareru	business	離れる	はなれる	rời xa, tách khỏi	本社から離れた場所に工場がある。	Nhà máy nằm ở nơi cách xa trụ sở chính.
4561	hameru	exam	はめる	はめる	đeo vào, lắp vào	指輪を指にはめた。	Đã đeo nhẫn vào ngón tay.
4562	hameru	daily	はめる	はめる	đeo vào, lắp vào	手袋をはめて出かけた。	Đeo găng tay rồi đi ra ngoài.
4563	hameru	business	はめる	はめる	đeo vào, lắp vào	部品を正確にはめる作業だ。	Đây là công việc lắp linh kiện chính xác.
4564	hayaru	exam	流行る	はやる	thịnh hành, được ưa chuộng	今このスタイルが流行っている。	Kiểu này đang thịnh hành.
4565	hayaru	daily	流行る	はやる	thịnh hành, được ưa chuộng	去年流行った歌だ。	Đây là bài hát thịnh hành năm ngoái.
4566	hayaru	business	流行る	はやる	thịnh hành, được ưa chuộng	このデザインは若者の間で流行るだろう。	Thiết kế này chắc sẽ thịnh hành trong giới trẻ.
4567	haraimodosu	exam	払い戻す	はらいもどす	hoàn tiền	料金を払い戻してもらった。	Đã được hoàn lại tiền phí.
4568	haraimodosu	daily	払い戻す	はらいもどす	hoàn tiền	チケット代を払い戻した。	Đã hoàn tiền vé.
4569	haraimodosu	business	払い戻す	はらいもどす	hoàn tiền	不良品は全額払い戻す方針です。	Chính sách là hoàn lại toàn bộ tiền cho hàng lỗi.
4570	hareru_swell	exam	腫れる	はれる	sưng lên	足首が腫れてしまった。	Mắt cá chân đã bị sưng.
4571	hareru_swell	daily	腫れる	はれる	sưng lên	目が腫れている。	Mắt đang bị sưng.
4572	hareru_swell	business	腫れる	はれる	sưng lên	患部が腫れる場合は受診してください。	Nếu vùng bị thương sưng lên, vui lòng đi khám.
4573	hikiukeru	exam	引き受ける	ひきうける	đảm nhận, nhận lời	その仕事を引き受けた。	Đã nhận công việc đó.
4574	hikiukeru	daily	引き受ける	ひきうける	đảm nhận, nhận lời	頼まれて引き受けてしまった。	Được nhờ nên đã nhận lời.
4575	hikiukeru	business	引き受ける	ひきうける	đảm nhận, nhận lời	弊社がこの案件を引き受けます。	Công ty chúng tôi sẽ nhận dự án này.
4576	hikidasu	exam	引き出す	ひきだす	rút ra (tiền), khơi gợi	銀行でお金を引き出した。	Đã rút tiền ở ngân hàng.
4577	hikidasu	daily	引き出す	ひきだす	rút ra (tiền), khơi gợi	ATMで現金を引き出してきた。	Đã rút tiền mặt ở ATM.
