row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
0001	ai	exam	愛	あい	tình yêu	彼は家族への愛を大切にしている。	Anh ấy trân trọng tình yêu dành cho gia đình.
0002	ai	daily	愛	あい	tình yêu	この曲、愛について歌ってるんだよ。	Bài hát này hát về tình yêu đó.
0003	ai	business	愛	あい	tình yêu	私たちは、お客様への愛を込めてサービスを提供しています。	Chúng tôi cung cấp dịch vụ với tất cả tình yêu dành cho khách hàng.
0004	aijou	exam	愛情	あいじょう	tình yêu thương, tình cảm	親は子供に深い愛情を持っている。	Cha mẹ có tình yêu thương sâu sắc dành cho con cái.
0005	aijou	daily	愛情	あいじょう	tình yêu thương, tình cảm	このぬいぐるみ、愛情込めて作ったんだ。	Con thú nhồi bông này mình làm với cả tình yêu thương đó.
0006	aijou	business	愛情	あいじょう	tình yêu thương, tình cảm	弊社は一つ一つの商品に愛情を持って製造しています。	Công ty chúng tôi sản xuất từng sản phẩm với tất cả sự tâm huyết.
0007	aidea	exam	アイデア	アイデア	ý tưởng	何かいいアイデアがあったら教えてください。	Nếu có ý tưởng hay nào thì hãy cho tôi biết.
0008	aidea	daily	アイデア	アイデア	ý tưởng	このアイデア、めっちゃいいじゃん!	Ý tưởng này hay quá đi mất!
0009	aidea	business	アイデア	アイデア	ý tưởng	会議で新商品のアイデアをいくつか出しました。	Trong cuộc họp, tôi đã đưa ra vài ý tưởng cho sản phẩm mới.
0010	akushu	exam	握手	あくしゅ	bắt tay	二人の代表は笑顔で握手をした。	Hai vị đại diện đã bắt tay nhau với nụ cười.
0011	akushu	daily	握手	あくしゅ	bắt tay	久しぶりに会った友達と握手した。	Tôi đã bắt tay người bạn lâu ngày mới gặp.
0012	akushu	business	握手	あくしゅ	bắt tay	契約成立後、両社の代表が握手を交わした。	Sau khi ký kết hợp đồng, đại diện hai công ty đã bắt tay nhau.
0013	akusesu	exam	アクセス	アクセス	truy cập	このサイトには誰でも自由にアクセスできます。	Trang web này ai cũng có thể tự do truy cập.
0014	akusesu	daily	アクセス	アクセス	truy cập	Wi-Fiがなくてサイトにアクセスできない。	Không có Wi-Fi nên không truy cập được trang web.
0015	akusesu	business	アクセス	アクセス	truy cập	システムへのアクセス権限を申請してください。	Vui lòng xin cấp quyền truy cập vào hệ thống.
0016	akusento	exam	アクセント	アクセント	trọng âm	この単語のアクセントはどこにありますか。	Trọng âm của từ này nằm ở đâu?
0017	akusento	daily	アクセント	アクセント	trọng âm	彼、関西のアクセントが残ってるね。	Anh ấy vẫn còn giọng vùng Kansai nhỉ.
0018	akusento	business	アクセント	アクセント	trọng âm	プレゼン資料は色でアクセントをつけると見やすくなります。	Nếu nhấn màu tạo điểm nhấn trong tài liệu thuyết trình sẽ dễ nhìn hơn.
0019	achirakochira	exam	あちらこちら	あちらこちら	khắp nơi, đây đó	資料をあちらこちらに置き忘れてしまった。	Tôi đã để quên tài liệu ở khắp nơi.
0020	achirakochira	daily	あちらこちら	あちらこちら	khắp nơi, đây đó	休みの日はあちらこちらへ出かけるのが好き。	Ngày nghỉ tôi thích đi đây đi đó.
0021	achirakochira	business	あちらこちら	あちらこちら	khắp nơi, đây đó	会場のあちらこちらに案内板を設置しました。	Chúng tôi đã đặt bảng hướng dẫn ở nhiều chỗ trong hội trường.
0022	atsumari	exam	集まり	あつまり	sự tụ tập, buổi gặp mặt	今週末、町内の集まりがあります。	Cuối tuần này có buổi tụ họp của khu phố.
0023	atsumari	daily	集まり	あつまり	sự tụ tập, buổi gặp mặt	今度の集まり、行く?	Buổi tụ tập lần này, đi không?
0024	atsumari	business	集まり	あつまり	sự tụ tập, buổi gặp mặt	部署の集まりで今後の方針について話し合った。	Tại buổi họp mặt của phòng ban, mọi người đã bàn về phương hướng sắp tới.
0025	atena	exam	宛名	あてな	tên, địa chỉ người nhận	封筒に宛名を正しく書いてください。	Hãy ghi đúng tên người nhận lên phong bì.
0026	atena	daily	宛名	あてな	tên, địa chỉ người nhận	あ、宛名書くの忘れてた!	A, tôi quên ghi tên người nhận rồi!
0027	atena	business	宛名	あてな	tên, địa chỉ người nhận	案内状の宛名は役職名まで正確に記載してください。	Vui lòng ghi chính xác cả chức danh trong tên người nhận của thư mời.
0028	atokatazuke	exam	後片付け	あとかたづけ	dọn dẹp	食事の後片付けは私がします。	Việc dọn dẹp sau bữa ăn để tôi làm.
0029	atokatazuke	daily	後片付け	あとかたづけ	dọn dẹp	パーティーの後片付け、手伝って!	Giúp tôi dọn dẹp sau bữa tiệc với!
0030	atokatazuke	business	後片付け	あとかたづけ	dọn dẹp	イベント終了後の後片付けは業者に依頼した。	Việc dọn dẹp sau khi sự kiện kết thúc đã được thuê đơn vị ngoài xử lý.
0031	adobaisu	exam	アドバイス	アドバイス	lời khuyên	先生に進路についてアドバイスをもらった。	Tôi đã nhận được lời khuyên từ thầy giáo về hướng đi tương lai.
0032	adobaisu	daily	アドバイス	アドバイス	lời khuyên	いいアドバイスありがとう、助かった!	Cảm ơn lời khuyên hay nhé, giúp mình nhiều lắm!
0033	adobaisu	business	アドバイス	アドバイス	lời khuyên	上司から資料の作り方についてアドバイスを受けた。	Tôi đã nhận được lời khuyên từ cấp trên về cách làm tài liệu.
0034	ana	exam	穴	あな	lỗ, hố	壁に穴を開けてしまった。	Tôi đã lỡ khoan một lỗ trên tường.
0035	ana	daily	穴	あな	lỗ, hố	靴下に穴が空いてる!	Tất bị thủng lỗ rồi kìa!
0036	ana	business	穴	あな	lỗ, hố	このスケジュールには穴があるので見直しましょう。	Lịch trình này có lỗ hổng nên hãy xem lại.
0037	amari	exam	余り	あまり	phần còn lại, dư	十を三で割ると、余りは一です。	Mười chia ba thì số dư là một.
0038	amari	daily	余り	あまり	phần còn lại, dư	材料の余りでもう一品作ろう。	Dùng nguyên liệu còn dư làm thêm một món nữa đi.
0039	amari	business	余り	あまり	phần còn lại, dư	予算の余りは来期に繰り越します。	Phần ngân sách còn dư sẽ được chuyển sang kỳ sau.
0040	anketo	exam	アンケート	アンケート	bảng khảo sát	学生にアンケートを実施した。	Chúng tôi đã thực hiện khảo sát với sinh viên.
0041	anketo	daily	アンケート	アンケート	bảng khảo sát	このアンケート、答えると割引券がもらえるよ。	Trả lời bảng khảo sát này thì được tặng phiếu giảm giá đó.
0042	anketo	business	アンケート	アンケート	bảng khảo sát	顧客満足度アンケートの結果を来週報告します。	Tuần sau tôi sẽ báo cáo kết quả khảo sát mức độ hài lòng của khách hàng.
0043	itazura	exam	いたずら	いたずら	trò nghịch ngợm	子供が壁にいたずら書きをした。	Đứa trẻ đã vẽ bậy (nghịch) lên tường.
0044	itazura	daily	いたずら	いたずら	trò nghịch ngợm	またいたずらして!もう!	Lại nghịch nữa rồi! Thôi nào!
0045	itazura	business	いたずら	いたずら	trò nghịch ngợm	彼のいたずらのせいで、会議が中断してしまった。	Vì trò nghịch của anh ấy mà cuộc họp đã bị gián đoạn.
0046	ichibu	exam	一部	いちぶ	một phần	この意見は学生の一部の意見にすぎない。	Ý kiến này chỉ là ý kiến của một bộ phận sinh viên.
0047	ichibu	daily	一部	いちぶ	một phần	荷物の一部がまだ届いてないんだ。	Một phần hành lý vẫn chưa tới nơi.
0048	ichibu	business	一部	いちぶ	một phần	今回のプロジェクトの一部を外部に委託します。	Một phần của dự án lần này sẽ được giao cho bên ngoài.
0049	isshun	exam	一瞬	いっしゅん	khoảnh khắc	花火は一瞬で消えてしまった。	Pháo hoa đã tắt chỉ trong khoảnh khắc.
0050	isshun	daily	一瞬	いっしゅん	khoảnh khắc	一瞬、誰か分からなかった。	Trong khoảnh khắc đó, tôi không nhận ra là ai.
0051	isshun	business	一瞬	いっしゅん	khoảnh khắc	一瞬の判断ミスが大きな損失につながった。	Một sai lầm trong khoảnh khắc đã dẫn đến tổn thất lớn.
0052	ihan	exam	違反	いはん	vi phạm	スピード違反で捕まった。	Tôi đã bị bắt vì vi phạm tốc độ.
0053	ihan	daily	違反	いはん	vi phạm	それ、校則違反じゃない?	Cái đó không phải vi phạm nội quy trường à?
0054	ihan	business	違反	いはん	vi phạm	契約違反があった場合、直ちにご連絡ください。	Nếu có vi phạm hợp đồng, vui lòng liên hệ ngay lập tức.
0055	event	exam	イベント	イベント	sự kiện	来月、大きいイベントがある。	Tháng sau có một sự kiện lớn.
0056	event	daily	イベント	イベント	sự kiện	このイベント、めっちゃ楽しみ!	Sự kiện này, tớ mong chờ lắm luôn!
0057	event	business	イベント	イベント	sự kiện	新商品発表のイベントを来週開催します。	Chúng tôi sẽ tổ chức sự kiện ra mắt sản phẩm mới vào tuần sau.
0058	image	exam	イメージ	イメージ	hình ảnh, ấn tượng	この会社のイメージはどうですか。	Ấn tượng của bạn về công ty này thế nào?
0059	image	daily	イメージ	イメージ	hình ảnh, ấn tượng	思ってたのと全然イメージが違った。	Hoàn toàn khác với những gì tôi tưởng tượng.
0060	image	business	イメージ	イメージ	hình ảnh, ấn tượng	新しいロゴで会社のイメージを一新したい。	Chúng tôi muốn làm mới hình ảnh công ty bằng logo mới.
0061	insatsu	exam	印刷	いんさつ	in ấn	この資料を10部印刷してください。	Hãy in tài liệu này thành 10 bản.
0062	insatsu	daily	印刷	いんさつ	in ấn	プリンターの調子が悪くて印刷できない。	Máy in bị trục trặc nên không in được.
0063	insatsu	business	印刷	いんさつ	in ấn	パンフレットの印刷を業者に発注しました。	Tôi đã đặt in tờ rơi từ nhà cung cấp.
0064	inshou	exam	印象	いんしょう	ấn tượng	彼の第一印象はとても良かった。	Ấn tượng đầu tiên về anh ấy rất tốt.
0065	inshou	daily	印象	いんしょう	ấn tượng	あの映画、印象に残るシーンが多かった。	Bộ phim đó có nhiều cảnh gây ấn tượng ghê.
0066	inshou	business	印象	いんしょう	ấn tượng	面接では第一印象がとても重要です。	Trong phỏng vấn, ấn tượng đầu tiên rất quan trọng.
0067	intabyuu	exam	インタビュー	インタビュー	phỏng vấn	有名な俳優にインタビューした。	Tôi đã phỏng vấn một diễn viên nổi tiếng.
0068	intabyuu	daily	インタビュー	インタビュー	phỏng vấn	あの番組のインタビュー、見た?	Xem cái phỏng vấn trong chương trình đó chưa?
0069	intabyuu	business	インタビュー	インタビュー	phỏng vấn	新製品についてメディアからインタビューを受けました。	Chúng tôi đã được truyền thông phỏng vấn về sản phẩm mới.
0070	uso	exam	うそ	うそ	nói dối	うそをつくのは良くないです。	Nói dối là không tốt.
0071	uso	daily	うそ	うそ	nói dối	えー、うそでしょ?	Ơ, nói dối à?
0072	uso	business	うそ	うそ	nói dối	経歴にうそがあったことが発覚し、大問題になった。	Việc phát hiện có sự gian dối trong lý lịch đã trở thành vấn đề lớn.
0073	uchigawa	exam	内側	うちがわ	phía bên trong	線の内側に立ってください。	Vui lòng đứng bên trong vạch kẻ.
0074	uchigawa	daily	内側	うちがわ	phía bên trong	このジャケット、内側がふわふわで暖かい。	Cái áo khoác này bên trong mềm mại và ấm áp.
0075	uchigawa	business	内側	うちがわ	phía bên trong	安全のため、黄色い線の内側でお待ちください。	Vì an toàn, xin vui lòng đợi phía trong vạch vàng.
0076	airmail	exam	エアメール	エアメール	thư đường hàng không	この手紙をエアメールで送りたいです。	Tôi muốn gửi lá thư này bằng đường hàng không.
0077	airmail	daily	エアメール	エアメール	thư đường hàng không	エアメールって高くない?	Gửi thư hàng không không đắt à?
0078	airmail	business	エアメール	エアメール	thư đường hàng không	海外支店へはエアメールで書類を送付しています。	Chúng tôi gửi tài liệu đến chi nhánh nước ngoài bằng đường thư hàng không.
0079	eikyou	exam	影響	えいきょう	ảnh hưởng	天候が農作物に影響する。	Thời tiết ảnh hưởng đến nông sản.
0080	eikyou	daily	影響	えいきょう	ảnh hưởng	親の影響で音楽が好きになった。	Do ảnh hưởng từ bố mẹ mà tôi thích âm nhạc.
0081	eikyou	business	影響	えいきょう	ảnh hưởng	為替の変動が売り上げに影響を与えている。	Biến động tỷ giá đang ảnh hưởng đến doanh số.
0082	eigyou	exam	営業	えいぎょう	kinh doanh	この店は何時まで営業していますか。	Cửa hàng này mở cửa đến mấy giờ?
0083	eigyou	daily	営業	えいぎょう	kinh doanh	彼、今は営業やってるんだって。	Nghe nói anh ấy giờ đang làm sale đó.
0084	eigyou	business	営業	えいぎょう	kinh doanh	来月から新規顧客への営業を強化します。	Từ tháng sau chúng tôi sẽ tăng cường hoạt động tiếp cận khách hàng mới.
0085	eco	exam	エコ	エコ	sinh thái	最近はエコな商品が増えている。	Gần đây các sản phẩm thân thiện môi trường ngày càng nhiều.
0086	eco	daily	エコ	エコ	sinh thái	エコバッグ持ってきた?	Mang túi eco theo chưa?
0087	eco	business	エコ	エコ	sinh thái	弊社は梱包資材をエコ素材に切り替えました。	Công ty chúng tôi đã chuyển sang dùng vật liệu đóng gói thân thiện môi trường.
0088	energy	exam	エネルギー	エネルギー	năng lượng	太陽光は再生可能エネルギーの一つです。	Ánh sáng mặt trời là một trong những năng lượng tái tạo.
0089	energy	daily	エネルギー	エネルギー	năng lượng	最近、エネルギー切れって感じ…。	Dạo này thấy như hết năng lượng vậy đó.
0090	energy	business	エネルギー	エネルギー	năng lượng	工場の消費エネルギーを削減する計画です。	Đây là kế hoạch giảm năng lượng tiêu thụ của nhà máy.
0091	oil	exam	オイル	オイル	dầu, dầu mỏ	エンジンオイルを交換してもらった。	Tôi đã nhờ thay dầu động cơ.
0092	oil	daily	オイル	オイル	dầu, dầu mỏ	このオイル、肌にすごくいいんだよ。	Loại dầu này rất tốt cho da đó.
0093	oil	business	オイル	オイル	dầu, dầu mỏ	定期的にオイルの状態を点検しています。	Chúng tôi kiểm tra tình trạng dầu định kỳ.
0094	oiwai	exam	お祝い	おいわい	chúc mừng, quà chúc mừng	誕生日のお祝いに花を贈った。	Tôi đã tặng hoa để chúc mừng sinh nhật.
0095	oiwai	daily	お祝い	おいわい	chúc mừng, quà chúc mừng	今度、昇進のお祝いしようよ。	Lần tới mình tổ chức chúc mừng thăng chức đi.
0096	oiwai	business	お祝い	おいわい	chúc mừng, quà chúc mừng	創業のお祝いとして記念品をお渡ししております。	Chúng tôi tặng quà lưu niệm để chúc mừng dịp thành lập công ty.
0097	ouen	exam	応援	おうえん	cổ vũ	一生懸命応援します!	Tôi sẽ cổ vũ hết mình!
0098	ouen	daily	応援	おうえん	cổ vũ	明日の試合、応援に行こうよ。	Trận đấu ngày mai, đi cổ vũ đi.
0099	ouen	business	応援	おうえん	cổ vũ	新入社員の挑戦をチーム一丸となって応援します。	Cả đội sẽ đồng lòng cổ vũ cho thử thách của nhân viên mới.
0100	ogata	exam	大型	おおがた	cỡ lớn	大型の台風が接近しています。	Một cơn bão lớn đang tới gần.
0101	ogata	daily	大型	おおがた	cỡ lớn	このスーパー、大型店だから何でもあるよ。	Siêu thị này là cửa hàng lớn nên có đủ thứ luôn đó.
0102	ogata	business	大型	おおがた	cỡ lớn	大型連休中の営業時間を変更いたします。	Chúng tôi sẽ thay đổi giờ mở cửa trong kỳ nghỉ dài.
0103	okay	exam	オーケー	オーケー	đồng ý	これでオーケーですか。	Như vậy có được không?
0104	okay	daily	オーケー	オーケー	đồng ý	オーケー、了解!	Ok, hiểu rồi!
0105	okay	business	オーケー	オーケー	đồng ý	部長からオーケーが出ました。	Trưởng phòng đã đồng ý rồi.
0106	ojigi	exam	おじぎ	おじぎ	cúi chào	先生に会ったらおじぎをしましょう。	Khi gặp thầy cô thì hãy cúi chào nhé.
0107	ojigi	daily	おじぎ	おじぎ	cúi chào	深々とおじぎされて、ちょっと恐縮した。	Bị cúi chào rất sâu nên tôi hơi ngại.
0108	ojigi	business	おじぎ	おじぎ	cúi chào	名刺交換の際は丁寧におじぎをしてください。	Khi trao đổi danh thiếp, vui lòng cúi chào lịch sự.
0109	oshaberi	exam	おしゃべり	おしゃべり	tán gẫu	授業中のおしゃべりは禁止です。	Cấm nói chuyện riêng trong giờ học.
0110	oshaberi	daily	おしゃべり	おしゃべり	tán gẫu	久しぶりに友達とおしゃべりして楽しかった。	Lâu rồi mới tán gẫu với bạn, vui ghê.
0111	oshaberi	business	おしゃべり	おしゃべり	tán gẫu	休憩中のおしゃべりも大事なコミュニケーションです。	Việc trò chuyện trong giờ nghỉ cũng là giao tiếp quan trọng.
0112	otoshimono	exam	落とし物	おとしもの	đồ đánh rơi	落とし物センターはどこですか。	Trung tâm đồ thất lạc ở đâu ạ?
0113	otoshimono	daily	落とし物	おとしもの	đồ đánh rơi	あ、誰かの落とし物だ!	A, đồ ai đó đánh rơi nè!
0114	otoshimono	business	落とし物	おとしもの	đồ đánh rơi	お客様の落とし物は受付までお持ちください。	Nếu nhặt được đồ khách đánh rơi, xin mang đến quầy lễ tân.
0115	omoide	exam	思い出	おもいで	kỉ niệm	この写真は大切な思い出です。	Bức ảnh này là kỷ niệm quý giá.
0116	omoide	daily	思い出	おもいで	kỉ niệm	一緒にいい思い出作ろうね。	Cùng nhau tạo kỷ niệm đẹp nhé.
0117	omoide	business	思い出	おもいで	kỉ niệm	退職する社員のために、思い出のアルバムを作成した。	Chúng tôi đã làm một album kỷ niệm cho nhân viên sắp nghỉ việc.
0118	olympic	exam	オリンピック	オリンピック	thế vận hội	次のオリンピックはどこで開催されますか。	Thế vận hội tiếp theo sẽ tổ chức ở đâu?
0119	olympic	daily	オリンピック	オリンピック	thế vận hội	オリンピック、テレビで見た?	Xem Olympic trên TV chưa?
0120	olympic	business	オリンピック	オリンピック	thế vận hội	弊社はオリンピックの公式スポンサーです。	Công ty chúng tôi là nhà tài trợ chính thức của Thế vận hội.
0121	card	exam	カード	カード	thẻ	お支払いはカードでお願いします。	Vui lòng thanh toán bằng thẻ.
0122	card	daily	カード	カード	thẻ	このカード、ポイントたまるよ。	Thẻ này tích điểm được đó.
0123	card	business	カード	カード	thẻ	会議室のカードキーはフロントでお受け取りください。	Vui lòng nhận thẻ khóa phòng họp tại quầy lễ tân.
0124	kaikai	exam	開会	かいかい	khai mạc	それでは開会のあいさつをお願いします。	Vậy thì xin mời phát biểu khai mạc.
0125	kaikai	daily	開会	かいかい	khai mạc	開会式、もう始まった?	Lễ khai mạc bắt đầu chưa?
0126	kaikai	business	開会	かいかい	khai mạc	定刻通りに開会いたします。	Chúng tôi sẽ khai mạc đúng giờ đã định.
0127	kaiketsu	exam	解決	かいけつ	giải quyết	この問題はどう解決すればいいですか。	Vấn đề này nên giải quyết thế nào?
0128	kaiketsu	daily	解決	かいけつ	giải quyết	やっと解決して、ほっとした。	Cuối cùng cũng giải quyết xong, nhẹ cả người.
