row	vocabId	type	word	reading	meaningVi	exampleJp	exampleVi
4141	katamaru	exam	固まる	かたまる	cứng lại, đông lại	セメントが固まった。	Xi măng đã đông cứng lại.
4142	katamaru	daily	固まる	かたまる	cứng lại, đông lại	まだ固まってないよ。	Vẫn chưa đông cứng đâu.
4143	katamaru	business	固まる	かたまる	cứng lại, đông lại	方針が固まっております。	Phương châm đã được thống nhất.
4144	katamuku	exam	傾く	かたむく	nghiêng, lệch	棚が傾いた。	Cái kệ bị nghiêng.
4145	katamuku	daily	傾く	かたむく	nghiêng, lệch	家、ちょっと傾いてない?	Nhà hơi nghiêng không?
4146	katamuku	business	傾く	かたむく	nghiêng, lệch	建物が傾いております。	Tòa nhà đang bị nghiêng.
4147	gakkari	exam	がっかりする	がっかりする	thất vọng	結果にがっかりした。	Tôi đã thất vọng vì kết quả.
4148	gakkari	daily	がっかりする	がっかりする	thất vọng	そんなにがっかりしないで。	Đừng thất vọng như vậy.
4149	gakkari	business	がっかりする	がっかりする	thất vọng	お客様をがっかりさせないよう努めております。	Chúng tôi nỗ lực để không làm khách hàng thất vọng.
4150	kamu	exam	かむ	かむ	cắn, nhai	ガムをかんだ。	Tôi đã nhai kẹo cao su.
4151	kamu	daily	かむ	かむ	cắn, nhai	よくかんで食べてね。	Nhai kỹ rồi ăn nhé.
4152	kamu	business	かむ	かむ	cắn, nhai	しっかりかんで食べることを推奨しております。	Chúng tôi khuyến khích nhai kỹ khi ăn.
4153	kayou	exam	通う	かよう	đi lại, theo học	毎日、学校に通った。	Mỗi ngày tôi đều đi học.
4154	kayou	daily	通う	かよう	đi lại, theo học	どこに通ってるの?	Cậu đang theo học ở đâu vậy?
4155	kayou	business	通う	かよう	đi lại, theo học	多くの学生がこの学校に通っております。	Nhiều học sinh đang theo học tại trường này.
4156	kareru	exam	枯れる	かれる	héo	花が枯れた。	Hoa đã héo.
4157	kareru	daily	枯れる	かれる	héo	この植物、枯れてきたね。	Cây này héo dần rồi nhỉ.
4158	kareru	business	枯れる	かれる	héo	水やり不足で植物が枯れております。	Cây bị héo do thiếu nước tưới.
4159	kawaigaru	exam	かわいがる	かわいがる	nuông chiều, yêu chiều	祖母は孫をかわいがった。	Bà nội đã nuông chiều cháu.
4160	kawaigaru	daily	かわいがる	かわいがる	nuông chiều, yêu chiều	すごくかわいがってるね。	Cậu chiều nó ghê nhỉ.
4161	kawaigaru	business	かわいがる	かわいがる	nuông chiều, yêu chiều	新入社員をかわいがる先輩が多いです。	Có nhiều tiền bối yêu quý nhân viên mới.
4162	kawakasu	exam	乾かす	かわかす	làm khô	髪を乾かした。	Tôi đã làm khô tóc.
4163	kawakasu	daily	乾かす	かわかす	làm khô	洗濯物、乾かしておいたよ。	Tớ đã phơi khô quần áo sẵn rồi đấy.
4164	kawakasu	business	乾かす	かわかす	làm khô	洗った器具はしっかり乾かしております。	Dụng cụ sau khi rửa được làm khô kỹ lưỡng.
4165	kawaru	exam	代わる	かわる	thay đổi, thay thế	担当者が代わった。	Người phụ trách đã thay đổi.
4166	kawaru	daily	代わる	かわる	thay đổi, thay thế	次、代わろうか。	Lần tới đổi phiên nhé?
4167	kawaru	business	代わる	かわる	thay đổi, thay thế	担当者が代わっております。	Người phụ trách đã được thay đổi.
4168	kanjiru	exam	感じる	かんじる	cảm thấy	寒さを感じた。	Tôi đã cảm thấy lạnh.
4169	kanjiru	daily	感じる	かんじる	cảm thấy	何か感じない?	Cậu có cảm thấy gì không?
4170	kanjiru	business	感じる	かんじる	cảm thấy	お客様のニーズを常に感じております。	Chúng tôi luôn cảm nhận nhu cầu của khách hàng.
4171	kiku2	exam	効く	きく	có tác dụng	この薬はよく効いた。	Loại thuốc này rất có tác dụng.
4172	kiku2	daily	効く	きく	có tác dụng	全然効かないよ。	Không có tác dụng gì cả.
4173	kiku2	business	効く	きく	có tác dụng	冷房が効いております。	Máy lạnh đang có tác dụng tốt.
4174	kiseru	exam	着せる	きせる	mặc cho (người khác)	子供に服を着せた。	Tôi đã mặc đồ cho con.
4175	kiseru	daily	着せる	きせる	mặc cho (người khác)	これ、着せてあげようか。	Để mặc cái này cho nó nhé?
4176	kiseru	business	着せる	きせる	mặc cho (người khác)	モデルに新作を着せて撮影いたしました。	Chúng tôi đã cho người mẫu mặc sản phẩm mới để chụp ảnh.
4177	kizuku	exam	気づく	きづく	nhận ra	間違いに気づいた。	Tôi đã nhận ra sai lầm.
4178	kizuku	daily	気づく	きづく	nhận ra	気づいてよかった。	May mà nhận ra kịp thời.
4179	kizuku	business	気づく	きづく	nhận ra	問題点に早期に気づいております。	Chúng tôi đã nhận ra vấn đề từ sớm.
4180	kiniiru	exam	気に入る	きにいる	thích	この服が気に入った。	Tôi đã thích bộ quần áo này.
4181	kiniiru	daily	気に入る	きにいる	thích	これ、気に入ってる?	Cậu có thích cái này không?
